ref,commission_percent,station_distance,rent,pub_date,pub_time,studio,n_rooms,area,floor,n_floors,n_days,mcc,circle,center_distance,parsing_date,y
/moskva/kvartiry/2-k_kvartira_47_m_55_et._945353345,,16,30.0,2020-07-28,,0,2,47,5,5,10,0,0,12.833674364295671,2020-08-04,0.6382978723404256
/moskva/kvartiry/1-k_kvartira_38.5_m_716_et._1980410476,,4,65.0,2020-08-04,12:50:01.391968,0,1,38,7,16,3,0,0,2.061580940262388,2020-08-04,1.7105263157894737
/moskva/kvartiry/1-k_kvartira_37_m_59_et._1823637398,50,11,50.0,2020-07-28,,0,1,37,5,9,8,0,0,5.16538661677811,2020-08-04,1.3513513513513513
/moskva/kvartiry/1-k_kvartira_43_m_1744_et._1981612727,,7,100.0,2020-08-04,12:50:01.391968,0,1,43,17,44,2,0,0,3.585903480779788,2020-08-04,2.3255813953488373
/moskva/kvartiry/2-k_kvartira_45_m_59_et._1958525973,50,10,38.5,2020-07-30,,0,2,45,5,9,6,0,0,17.749787002559334,2020-08-04,0.8555555555555555
/moskva/kvartiry/2-k_kvartira_57_m_49_et._1262601912,,18,37.0,2020-07-21,,0,2,57,4,9,15,0,0,12.844090430537948,2020-08-04,0.6491228070175439
/moskva/kvartiry/2-k_kvartira_49_m_1823_et._1961041749,,8,55.0,2020-07-21,,0,2,49,18,23,15,0,0,9.716113089086091,2020-08-04,1.1224489795918366
/moskva/kvartiry/2-k_kvartira_52_m_2332_et._1209475310,,21,45.0,2020-08-02,,0,2,52,23,32,3,0,0,16.05311753942439,2020-08-04,0.8653846153846154
/moskva/kvartiry/1-k_kvartira_40_m_79_et._1249777373,50,5,28.0,2020-07-28,,0,1,40,7,9,8,0,0,16.167248744604045,2020-08-04,0.7
/moskva/kvartiry/2-k_kvartira_54_m_55_et._1935882726,50,10,35.0,2020-07-30,,0,2,54,5,5,6,0,0,15.656473583949358,2020-08-04,0.6481481481481481
/moskva/kvartiry/3-k_kvartira_165_m_24_et._1972829802,0,5,200.0,2020-07-30,,0,3,165,2,4,6,0,0,0.32170451592479016,2020-08-04,1.2121212121212122
/moskva/kvartiry/2-k_kvartira_60_m_816_et._1959112142,,5,80.0,2020-07-29,,0,2,60,8,16,12,0,1,3.206879437508212,2020-08-04,1.3333333333333333
/moskva/kvartiry/2-k_kvartira_48_m_212_et._1872046910,60,29,30.0,2020-07-29,,0,2,48,2,12,7,0,0,17.749787002559334,2020-08-04,0.625
/moskva/kvartiry/1-k_kvartira_38_m_1012_et._1969179988,,10,42.0,2020-07-28,,0,1,38,10,12,12,0,0,6.8322428413998,2020-08-04,1.105263157894737
/moskva/kvartiry/2-k_kvartira_43_m_29_et._1961153597,50,24,30.0,2020-07-29,,0,2,43,2,9,11,0,0,13.58360839238828,2020-08-04,0.6976744186046512
/moskva/kvartiry/2-k_kvartira_45_m_35_et._1963606171,80,8,40.0,2020-07-28,,0,2,45,3,5,8,0,0,5.431555141686898,2020-08-04,0.8888888888888888
/moskva/kvartiry/2-k_kvartira_45_m_55_et._1843431521,,17,40.0,2020-08-01,,0,2,45,5,5,4,1,0,11.149641237333775,2020-08-04,0.8888888888888888
/moskva/kvartiry/3-k_kvartira_90_m_610_et._1636841524,0,2,105.0,2020-08-01,,0,3,90,6,10,4,0,0,2.350441672322792,2020-08-04,1.1666666666666667
/moskva/kvartiry/1-k_kvartira_33_m_79_et._1964118905,,16,35.0,2020-08-03,,0,1,33,7,9,8,0,0,17.396838684991508,2020-08-04,1.0606060606060606
/moskva/kvartiry/1-k_kvartira_38_m_35_et._1950919246,,1,30.0,2020-07-28,,0,1,38,3,5,8,0,0,13.558779945548173,2020-08-04,0.7894736842105263
/moskva/kvartiry/1-k_kvartira_36_m_1212_et._1634039260,50,8,35.0,2020-07-29,,0,1,36,12,12,7,1,0,5.5512685522760785,2020-08-04,0.9722222222222222
