,lat,lng,line,center_distance,mcc,circle
Авиамоторная,55.751933,37.717444,Калининская,6.285444479882571,0,0
Автозаводская,55.70631,37.66314,МЦК,6.220661178615717,1,0
Академическая,55.687147,37.5723,Калужско-Рижская,8.16866126824588,0,0
Александровский сад,55.752255,37.608775,Филевская,0.6875209829875837,0,0
Алексеевская,55.807794,37.638699,Калужско-Рижская,5.9255803599455605,0,0
Алма-Атинская,55.63349,37.765678,Замоскворецкая,16.5081390984448,0,0
Алтуфьево,55.899034,37.586473,Серпуховско-Тимирязевская,16.05311753942439,0,0
Андроновка,55.741111,37.734444,МЦК,7.521105741319114,1,0
Аникеевка,55.832099,37.219829,МЦД - 2,26.35145922061427,0,0
Аннино,55.583477,37.596999,Серпуховско-Тимирязевская,19.24263549643987,0,0
Арбатская,55.752122,37.601553,Филевская,1.0920233664001546,0,0
Аэропорт,55.800441,37.530477,Замоскворецкая,7.379127263590749,0,0
Бабушкинская,55.870641,37.664341,Калужско-Рижская,13.104947130339836,0,0
Багратионовская,55.743544,37.497042,Филевская,7.694158519358147,0,0
Баковка,55.682816,37.315205,МЦД - 1,20.672672576298456,0,0
Балтийская,55.825833,37.496111,МЦК,10.893106224042754,1,0
Баррикадная,55.760793,37.581242,Таганско-Краснопресненская,2.3455564591601026,0,0
Бауманская,55.772405,37.67904,Арбатско-Покровская,4.271853909460736,0,0
Беговая,55.773505,37.545518,МЦД - 1,4.929521205774406,0,0
Белокаменная,55.83,37.700556,МЦК,9.752617279075578,1,0
Беломорская,55.8651,37.4764,Замоскворецкая,15.037649645206713,0,0
Белорусская,55.775179,37.582303,Кольцевая,3.0828672066142935,0,1
Беляево,55.642357,37.526115,Калужско-Рижская,13.890305901113779,0,0
Бескудниково,55.882713,37.567768,МЦД - 1,14.458360247588036,0,0
Бибирево,55.883868,37.603011,Серпуховско-Тимирязевская,14.274933458415228,0,0
Библиотека им.Ленина,55.752123,37.610388,Сокольническая,0.6189120108555333,0,0
Битца,55.571186,37.611443,МЦД - 2,20.571014270372256,0,0
Битцевский Парк,55.600066,37.556058,Бутовская,17.778571249785085,0,0
Борисово,55.6325,37.743333,Люблинско-Дмитровская,15.85374848477656,0,0
Боровицкая,55.750399,37.60934,Серпуховско-Тимирязевская,0.8037331704943594,0,0
Боровское шоссе,55.647,37.3701,Солнцевская,19.727624060830678,0,0
Ботанический сад,55.845556,37.640278,МЦК,10.080947422551246,1,0
Братиславская,55.658817,37.748415,Люблинско-Дмитровская,13.58360839238828,0,0
Бульвар Адмирала Ушакова,55.545207,37.542329,Бутовская,23.933374800007574,0,0
Бульвар Дмитрия Донского,55.568201,37.576856,Серпуховско-Тимирязевская,21.056346800212822,0,0
Бульвар Рокоссовского,55.817222,37.736944,МЦК,10.131813490251698,1,0
Бунинская аллея,55.537977,37.515899,Бутовская,25.095109224601096,0,0
Бутово,55.548279,37.555668,МЦД - 2,23.444035913673318,0,0
Бутырская,55.813333,37.602778,Люблинско-Дмитровская,6.45954094029812,0,0
